Question,Answer,Category,Crop,QueryType
asking about dose of master insecticide,told him that the dose is 1 ml per litre of water,General,General,General
asking about application of micronutrients,told him to apply tracel @ 2ml/lit of water spray 2 times at 15 days interval,General,General,General
asking about removal of overgrown grasses in the fish pond and low dissolved oxygen,"remove the grasses by hand directly from the root or by using any appliances which can be pulled
to increase dissolved oxygen in the pond use a bamboo and then splash over the surface of the water",General,General,General
asking about good variety of french bean.,recommended him to sow parvathy or contender .,General,General,General
query regarding  a cow  showing the signs of cough ( suspected to rti),told him to inject zeronac m -30 ml - 3-4  i/ mly  moxel 2 gm - i/ mly & dexona 1 ml  /  caflon 100 gm as directed,General,General,General
asking about  control of fusarium  of tomato,recommended  him  to apply saaf @2ml/lit of water spray 3 times  3 days interval,General,General,General
asking about control of  late blight in chilli,recommended him to  apply   indofil m 45 @ 2g/lit of water spray twice at 5 days interval,General,General,General
asking about control of late  blight  in potato,recommended him to apply ridomil gold @ 2g/lit of water spray 2 time at 5 days interval,General,General,General
asking for the control of caterpillar in potato.,recommended him to apply decis @ 2ml per liter of water.,General,General,General
asking about control measure of beetle in bitter gourd,"told him to apply malathion 50 ec @ 1 ml per litre , twice at 4 days interval",General,General,General
query regarding debility of cow,infuse intalyte  as directed / inject conciplex 30 ml -3-4 ml i/ mly as directed,General,General,General
asking about the control of leaf eating cater pillar in pumkin,suggested him to spray malathion 50 ec @ 2ml/liter of water,General,General,General
asking about late blight of potato,told him to apply indofil m45 @ 2gm/lt,General,General,General
asking about control of aphid for chrysanthemum,recommended  him to apply rogor @ 2ml/lit of water spray  3 time at 3 days interval,General,General,General
query regarding the availability of local chicken,told him to take the necessary information from local poultry dealership of the district  / dist govt.  veterinary hospital,General,General,General
asking about the control of cut worm in capsicum.,recommended him to apply malathion 5% dust @ 3 kg per bigha of land.,General,General,General
asking about the micro nutrient use in knol khol,suggested him to spray tracel 2 @ 2gm/liter of water,General,General,General
asking about the fertilizer doses in capsicum,told him to spray 12 kg urea at top dressing,General,General,General
asking about the control of cut worm in cabbage,suggested him to spray ustaad @ 2ml/liter of water,General,General,General
asking about the control of fruit fly in bottle gourd,suggested him to spray malathion 50 ec @ 2ml/liter of water,General,General,General
asking about the micro nutrient use in brinjal,suggested him to spray multiplex all vegetables @ 2ml/liter of water,General,General,General
asking about nutrient management in cauliflower,trecel 2gm per liter of water,General,General,General
asking about control measure of bacterial wilt of chilli,told him to apply streptomycin @ 1 gram in 5 litres of water,General,General,General
asking about the control of leaf curl of  bottle gourd,recommended to  spray malathion 50 ec @ 2  ml per litre of water 3 times at an interval of 5 days,General,General,General
asking for control of fungal disease of dahlia and marigold,"recommended to spray ridomil gold @ 2 gram per litre water 3 times at an interval of 5 days for marigold
for dahlia spray saaf @ 2 gram per litre water 3 times at an interval of 5 days",General,General,General
query regarding   a  goat showing anoestrous,"minerax mixture 5 -7gm orally  daily with diet / inject receptal  sos / the goat may become off fed when she is in silent oestrous , anigest 30 gm -5-8 gm orally daily for the goat which are showing the sign of inappitance",General,General,General
query regarding some croulier  showing the signs of   inflammation of eyelid,"told him to inject either[  dexona 1 ml enrocin 30 ml as directed ] or enrocin 1 gm / lits of water &   inflamin forte  bolus with feed , apply interban cream on the affected eyelid after cleaning with betadine solution",General,General,General
asking about foot and mouth disease,advised him to wash the affected area with potash water 1:1000 ratio once daily after that apply himax oinment and also provide livozyme fe @ 10 ml per cow orally before feed once daily,General,General,General
asking about management of piglet,advised him to give iron injection and cut the needle teeth  by consulting with local veterinary officer,General,General,General
asking about the micro nutrient use in bean,suggested him to spray tracel 2 @ 2gm/liter of water,General,General,General
asking about late blight of potato,told him to spray 2g of mancozeb per litre,General,General,General
asking about control measure of fungal attack in coconut,told him to apply bordeaux mixture @ 10 ml per litre of water,General,General,General
asking about control measure of yellowing of corriander  leaves,top dressing of urea @ 5 kg per bigha is recommended,General,General,General
"asking about variety , sowing time and fertilizer dose for brinjal","recommended him variety pusa purple long, kuchia, pusa purple round, pusa bhairab
sowing time : january-february 
fertilizer dose urea 9kg/bigha, dap 15 kg/bigha and mop 11kg/bigha",General,General,General
asking about fertilizer dose of litchi,"urea 110g/plant, ssp 250g/plant, mop 125g/plant oil cake 2kg/plant
for coconut give urea 750g/plant,  ssp 1250g/plant and mop 900g/plant , coconut special 100g/plant and  borax 50g/plant",General,General,General
asking about control measure of rotting in bottle gourd,told him to apply saaf @ 2 ml per litre of water,General,General,General
asking about control measure of cutworm in potato,told him to apply tricel 20 ec @ 2 ml per litre of water,General,General,General
query regarding  regarding quail farming,"since the  quail meat is cholesterol free  it can be consume by patient suffering from heart disease [ chd], the floor space & feed requirement is lessin comparision to broiler & layer or any other domesticated bird use for meat & egg purpose , though the size of quail egg is smaller then the duck or chicken egg the protein  present [ albumin ]in quail egg is almost same   with the chicken & duck egg . the quail farming is invariebly increasing in assam & north east & farmer can raise this quail easily due to meat & egg purpose",General,General,General
asking about control of  rats,recommended him to apply zincphosphide (rodenticide ) tablets at the hole made by rats,General,General,General
asking about control measure of fruit borer of tomato and pumpkin,told him to  spray  quinolphos @ 2 ml/l of water and neem oil cake for pumpkin  fruit fly,General,General,General
asking about the fertilizer requirement in coconut.,"recommended him to apply 1.5 kg urea, 2.5 kg ssp and 2 kg mop per plant per year in 2 split dose in ring system.",General,General,General
query  regarding  pig farming,"told him to rear saddle back, mampshire , landrace etc are the breed of pig , --can be manage  in a piggery unit",General,General,General
query regarding fmd  foot & mouth disease [ fmd] in some cow,"told him to  vaccinate the  cow which are not affected with fmd virus , treat the affected animal with suitable antibiotic & antihistaminic  at proper dose, wash the foot & mouth with weak  potash solution & apply dressol spray over the affected area where the fmd lesion is prominant , inject meloxical sos , when condition is improved -- blood purifier & liver tonic or injection should be given after general examination",General,General,General
asking for the veterinary expert,"told him to  vaccinate the  cow which are not affected with fmd virus , treat the affected animal with suitable antibiotic & antihistaminic  at proper dose, wash the foot & mouth with weak  potash solution & apply dressol spray over the affected area where the fmd lesion is prominant , inject meloxical sos , when condition is improved -- blood purifier & liver tonic or injection should be given after general examination",General,General,General
